Class,Percent Misspelled,Has URL,Fully Uppercase,Total Words
1,0.21637426900584794,0,0.03508771929824561,171
0,0.6,0,0.0,5
1,0.10606060606060606,1,0.030303030303030304,396
1,0.11494252873563218,0,0.041050903119868636,609
0,0.0,0,0.0,6
0,0.3181818181818182,0,0.045454545454545456,22
0,0.5,0,0.08333333333333333,12
0,0.2857142857142857,0,0.0,63
1,0.12798634812286688,0,0.032423208191126277,586
0,0.13793103448275862,0,0.06896551724137931,29
0,0.375,0,0.08333333333333333,24
0,0.21428571428571427,0,0.07142857142857142,14
1,0.17101449275362318,0,0.9826086956521739,345
1,0.178,0,0.074,500
0,0.28205128205128205,0,0.24358974358974358,78
1,0.21082089552238806,0,0.018656716417910446,536
0,0.1111111111111111,0,0.0,9
0,0.13157894736842105,0,0.07894736842105263,38
0,0.16666666666666666,0,0.0,6
1,0.14383561643835616,0,0.0136986301369863,146
0,0.19444444444444445,0,0.0,36
1,0.2,0,0.9789473684210527,285
0,0.1263537906137184,0,0.01444043321299639,277
0,0.0,0,0.0,1
1,0.22291021671826625,1,0.021671826625386997,646
0,0.30927835051546393,0,0.2268041237113402,97
0,0.3076923076923077,0,0.038461538461538464,26
0,0.2857142857142857,0,0.07142857142857142,28
0,0.0,0,0.0,3
0,0.0,0,0.0,1
1,0.15228426395939088,0,0.04568527918781726,394
1,0.0,0,0.0,1
1,0.22727272727272727,0,0.5454545454545454,44
0,0.1595744680851064,0,0.010638297872340425,94
0,0.15,0,0.1,20
0,0.18867924528301888,0,0.0,53
0,0.0,0,0.0,1
1,0.09259259259259259,0,0.016666666666666666,540
1,0.14432989690721648,0,0.1958762886597938,97
1,0.12016293279022404,0,0.06924643584521385,491
1,0.10029940119760479,0,0.041916167664670656,668
1,0.14014251781472684,1,0.0166270783847981,421
1,0.19298245614035087,0,0.9473684210526315,57
0,0.19363395225464192,1,0.005305039787798408,377
0,0.0,0,0.0,1
0,0.2,0,0.2,5
1,0.23904382470119523,0,0.029880478087649404,502
1,0.2413793103448276,0,0.3448275862068966,29
0,0.0,0,0.75,4
0,0.25,0,0.0,4
1,0.19576719576719576,1,0.0,189
1,0.18494623655913978,0,0.03655913978494624,465
1,0.30952380952380953,1,0.023809523809523808,42
0,0.2692307692307692,0,0.07692307692307693,26
0,0.0,0,0.0,1
1,0.12035010940919037,1,0.028446389496717725,457
1,0.1409090909090909,1,0.015909090909090907,440
1,0.5,0,0.0,6
0,0.0,0,0.0,1
1,0.20164609053497942,0,0.02880658436213992,486
1,0.11177644710578842,0,0.031936127744510975,501
0,0.0,0,0.0,1
0,0.2,0,0.04,25
0,0.1111111111111111,0,0.05555555555555555,18
1,0.1761904761904762,0,0.004761904761904762,210
1,0.1297709923664122,1,0.9561068702290076,524
1,0.19270833333333334,0,0.09895833333333333,192
1,0.26373626373626374,1,0.03021978021978022,364
0,0.4166666666666667,0,0.020833333333333332,96
1,0.07172413793103448,0,0.04827586206896552,725
1,0.21784232365145229,1,0.035269709543568464,482
0,0.08333333333333333,0,0.0,12
1,0.13090909090909092,0,0.04,275
0,0.0,0,0.0,1
0,0.1111111111111111,0,0.1111111111111111,36
0,0.46153846153846156,0,0.15384615384615385,13
1,0.17384370015948963,0,0.049441786283891544,627
0,0.22727272727272727,0,0.0,22
1,0.2586605080831409,1,0.011547344110854504,433
0,0.0,0,0.0,5
1,0.15445544554455445,0,0.1405940594059406,505
0,0.0,0,0.0,2
1,0.3777292576419214,1,0.04585152838427948,458
0,0.0,0,0.0,1
1,0.19480519480519481,0,0.012987012987012988,77
0,0.4583333333333333,0,0.08333333333333333,24
1,0.12236286919831224,0,0.016877637130801686,237
0,0.047619047619047616,0,0.047619047619047616,21
0,0.0,0,0.16666666666666666,6
0,0.13333333333333333,0,0.0,15
0,0.2807017543859649,0,0.03508771929824561,57
0,0.2,0,0.0,15
1,0.2826086956521739,0,0.043478260869565216,46
0,0.0,0,0.0,5
0,0.3333333333333333,0,0.0,6
1,0.1457905544147844,1,0.03696098562628337,487
0,0.0,0,0.0,1
0,0.27586206896551724,0,0.20689655172413793,87
0,0.0,0,0.0,1
0,0.2553191489361702,0,0.0,94
0,0.1875,0,0.0625,16
1,0.0,0,0.0,1
1,0.1945031712473573,0,0.03805496828752643,473
1,0.20588235294117646,0,0.029411764705882353,34
0,0.2,0,0.0,5
1,0.103125,1,0.059375,320
0,0.2222222222222222,0,0.1111111111111111,18
0,0.05263157894736842,0,0.05263157894736842,19
1,0.10404624277456648,0,0.057803468208092484,346
1,0.19813084112149532,0,0.029906542056074768,535
0,0.3333333333333333,0,0.0,9
0,0.06666666666666667,0,0.0,15
0,0.14814814814814814,0,0.0,27
1,0.1695906432748538,1,0.98635477582846,513
0,0.23333333333333334,0,0.03333333333333333,30
0,0.2027491408934708,1,0.020618556701030927,582
0,0.15384615384615385,0,0.0,13
1,0.11286681715575621,0,0.04288939051918736,443
0,0.16566985645933013,0,0.031698564593301434,1672
1,0.1367837338262477,0,0.027726432532347505,541
0,0.2,0,0.2,5
0,0.0,0,0.2,5
0,0.16570008285004142,0,0.0115990057995029,1207
0,0.14814814814814814,0,0.0,27
0,0.16666666666666666,0,0.0,6
0,0.07142857142857142,0,0.0,14
0,0.23636363636363636,0,0.01818181818181818,55
1,0.21492537313432836,0,0.020895522388059702,335
1,0.10948905109489052,0,0.0340632603406326,411
0,0.05263157894736842,0,0.05263157894736842,19
0,0.3076923076923077,0,0.3891402714932127,221
0,0.0,0,0.09090909090909091,11
0,0.06875,0,0.04375,160
1,0.162839248434238,1,0.025052192066805846,479
0,0.14285714285714285,0,0.0,7
0,0.3,0,0.2,10
0,0.0,0,0.2,5
0,0.30434782608695654,0,0.08695652173913043,23
1,0.10623946037099494,0,0.023608768971332208,593
0,0.1111111111111111,0,0.0,18
1,0.18454935622317598,0,0.017167381974248927,233
0,0.18303571428571427,0,0.008928571428571428,224
1,0.18789928598271327,0,0.04547162720781661,2661
0,0.0,0,0.0,2
0,0.13043478260869565,0,0.0,23
0,0.0,0,0.0,1
1,0.19959677419354838,1,0.07661290322580645,496
0,0.0,0,0.0,1
